,FileName,ARCH,ASLR,DEP,Authenticode,StrongNaming,SafeSEH,ControlFlowGuard
0,C:\windows\SysWOW64\1028\VsGraphicsResources.dll,I386,True,True,True,,,False
1,C:\windows\SysWOW64\1028\vsjitdebuggerui.dll,I386,True,True,True,,,False
2,C:\windows\SysWOW64\1029\VsGraphicsResources.dll,I386,True,True,True,,,False
3,C:\windows\SysWOW64\1029\vsjitdebuggerui.dll,I386,True,True,True,,,False
4,C:\windows\SysWOW64\1031\VsGraphicsResources.dll,I386,True,True,True,,,False
5,C:\windows\SysWOW64\1031\vsjitdebuggerui.dll,I386,True,True,True,,,False
6,C:\windows\SysWOW64\1033\VsGraphicsResources.dll,I386,True,True,True,,,False
7,C:\windows\SysWOW64\1033\vsjitdebuggerui.dll,I386,True,True,True,,,False
8,C:\windows\SysWOW64\1036\VsGraphicsResources.dll,I386,True,True,True,,,False
9,C:\windows\SysWOW64\1036\vsjitdebuggerui.dll,I386,True,True,True,,,False
10,C:\windows\SysWOW64\1040\VsGraphicsResources.dll,I386,True,True,True,,,False
11,C:\windows\SysWOW64\1040\vsjitdebuggerui.dll,I386,True,True,True,,,False
12,C:\windows\SysWOW64\1041\VsGraphicsResources.dll,I386,True,True,True,,,False
13,C:\windows\SysWOW64\1041\vsjitdebuggerui.dll,I386,True,True,True,,,False
14,C:\windows\SysWOW64\1042\VsGraphicsResources.dll,I386,True,True,True,,,False
15,C:\windows\SysWOW64\1042\vsjitdebuggerui.dll,I386,True,True,True,,,False
16,C:\windows\SysWOW64\1045\VsGraphicsResources.dll,I386,True,True,True,,,False
17,C:\windows\SysWOW64\1045\vsjitdebuggerui.dll,I386,True,True,True,,,False
18,C:\windows\SysWOW64\1046\VsGraphicsResources.dll,I386,True,True,True,,,False
19,C:\windows\SysWOW64\1046\vsjitdebuggerui.dll,I386,True,True,True,,,False
20,C:\windows\SysWOW64\1049\VsGraphicsResources.dll,I386,True,True,True,,,False
21,C:\windows\SysWOW64\1049\vsjitdebuggerui.dll,I386,True,True,True,,,False
22,C:\windows\SysWOW64\1055\VsGraphicsResources.dll,I386,True,True,True,,,False
23,C:\windows\SysWOW64\1055\vsjitdebuggerui.dll,I386,True,True,True,,,False
24,C:\windows\SysWOW64\2052\VsGraphicsResources.dll,I386,True,True,True,,,False
25,C:\windows\SysWOW64\2052\vsjitdebuggerui.dll,I386,True,True,True,,,False
26,C:\windows\SysWOW64\3082\VsGraphicsResources.dll,I386,True,True,True,,,False
27,C:\windows\SysWOW64\3082\vsjitdebuggerui.dll,I386,True,True,True,,,False
60,C:\windows\SysWOW64\downlevel\api-ms-win-base-util-l1-1-0.dll,I386,True,True,True,,,False
61,C:\windows\SysWOW64\downlevel\api-ms-win-core-com-l1-1-0.dll,I386,True,True,True,,,False
62,C:\windows\SysWOW64\downlevel\api-ms-win-core-comm-l1-1-0.dll,I386,True,True,True,,,False
63,C:\windows\SysWOW64\downlevel\api-ms-win-core-console-l1-1-0.dll,I386,True,True,True,,,False
64,C:\windows\SysWOW64\downlevel\api-ms-win-core-datetime-l1-1-0.dll,I386,True,True,True,,,False
65,C:\windows\SysWOW64\downlevel\api-ms-win-core-datetime-l1-1-1.dll,I386,True,True,True,,,False
66,C:\windows\SysWOW64\downlevel\api-ms-win-core-debug-l1-1-0.dll,I386,True,True,True,,,False
67,C:\windows\SysWOW64\downlevel\api-ms-win-core-debug-l1-1-1.dll,I386,True,True,True,,,False
68,C:\windows\SysWOW64\downlevel\api-ms-win-core-delayload-l1-1-0.dll,I386,True,True,True,,,False
69,C:\windows\SysWOW64\downlevel\api-ms-win-core-errorhandling-l1-1-0.dll,I386,True,True,True,,,False
70,C:\windows\SysWOW64\downlevel\api-ms-win-core-errorhandling-l1-1-1.dll,I386,True,True,True,,,False
71,C:\windows\SysWOW64\downlevel\api-ms-win-core-fibers-l1-1-0.dll,I386,True,True,True,,,False
72,C:\windows\SysWOW64\downlevel\api-ms-win-core-fibers-l1-1-1.dll,I386,True,True,True,,,False
73,C:\windows\SysWOW64\downlevel\api-ms-win-core-file-l1-1-0.dll,I386,True,True,True,,,False
74,C:\windows\SysWOW64\downlevel\api-ms-win-core-file-l1-2-0.dll,I386,True,True,True,,,False
75,C:\windows\SysWOW64\downlevel\api-ms-win-core-file-l1-2-1.dll,I386,True,True,True,,,False
76,C:\windows\SysWOW64\downlevel\API-MS-Win-core-file-l2-1-0.dll,I386,True,True,True,,,False
77,C:\windows\SysWOW64\downlevel\API-MS-Win-core-file-l2-1-1.dll,I386,True,True,True,,,False
78,C:\windows\SysWOW64\downlevel\api-ms-win-core-handle-l1-1-0.dll,I386,True,True,True,,,False
79,C:\windows\SysWOW64\downlevel\api-ms-win-core-heap-l1-1-0.dll,I386,True,True,True,,,False
80,C:\windows\SysWOW64\downlevel\API-MS-Win-Core-Heap-Obsolete-L1-1-0.dll,I386,True,True,True,,,False
81,C:\windows\SysWOW64\downlevel\api-ms-win-core-interlocked-l1-1-0.dll,I386,True,True,True,,,False
82,C:\windows\SysWOW64\downlevel\api-ms-win-core-io-l1-1-0.dll,I386,True,True,True,,,False
83,C:\windows\SysWOW64\downlevel\api-ms-win-core-io-l1-1-1.dll,I386,True,True,True,,,False
84,C:\windows\SysWOW64\downlevel\api-ms-win-core-kernel32-legacy-l1-1-0.dll,I386,True,True,True,,,False
85,C:\windows\SysWOW64\downlevel\api-ms-win-core-kernel32-legacy-l1-1-1.dll,I386,True,True,True,,,False
86,C:\windows\SysWOW64\downlevel\API-MS-Win-Core-Kernel32-Private-L1-1-0.dll,I386,True,True,True,,,False
87,C:\windows\SysWOW64\downlevel\API-MS-Win-Core-Kernel32-Private-L1-1-1.dll,I386,True,True,True,,,False
88,C:\windows\SysWOW64\downlevel\api-ms-win-core-libraryloader-l1-1-0.dll,I386,True,True,True,,,False
89,C:\windows\SysWOW64\downlevel\api-ms-win-core-libraryloader-l1-1-1.dll,I386,True,True,True,,,False
90,C:\windows\SysWOW64\downlevel\api-ms-win-core-localization-l1-2-0.dll,I386,True,True,True,,,False
91,C:\windows\SysWOW64\downlevel\api-ms-win-core-localization-l1-2-1.dll,I386,True,True,True,,,False
92,C:\windows\SysWOW64\downlevel\API-MS-Win-core-localization-obsolete-l1-2-0.dll,I386,True,True,True,,,False
93,C:\windows\SysWOW64\downlevel\api-ms-win-core-memory-l1-1-0.dll,I386,True,True,True,,,False
94,C:\windows\SysWOW64\downlevel\api-ms-win-core-memory-l1-1-1.dll,I386,True,True,True,,,False
95,C:\windows\SysWOW64\downlevel\api-ms-win-core-memory-l1-1-2.dll,I386,True,True,True,,,False
96,C:\windows\SysWOW64\downlevel\api-ms-win-core-namedpipe-l1-1-0.dll,I386,True,True,True,,,False
97,C:\windows\SysWOW64\downlevel\api-ms-win-core-privateprofile-l1-1-0.dll,I386,True,True,True,,,False
98,C:\windows\SysWOW64\downlevel\api-ms-win-core-privateprofile-l1-1-1.dll,I386,True,True,True,,,False
99,C:\windows\SysWOW64\downlevel\api-ms-win-core-processenvironment-l1-1-0.dll,I386,True,True,True,,,False
100,C:\windows\SysWOW64\downlevel\api-ms-win-core-processenvironment-l1-2-0.dll,I386,True,True,True,,,False
101,C:\windows\SysWOW64\downlevel\api-ms-win-core-processthreads-l1-1-0.dll,I386,True,True,True,,,False
102,C:\windows\SysWOW64\downlevel\api-ms-win-core-processthreads-l1-1-1.dll,I386,True,True,True,,,False
103,C:\windows\SysWOW64\downlevel\api-ms-win-core-processthreads-l1-1-2.dll,I386,True,True,True,,,False
104,C:\windows\SysWOW64\downlevel\api-ms-win-core-processtopology-obsolete-l1-1-0.dll,I386,True,True,True,,,False
105,C:\windows\SysWOW64\downlevel\api-ms-win-core-profile-l1-1-0.dll,I386,True,True,True,,,False
106,C:\windows\SysWOW64\downlevel\api-ms-win-core-realtime-l1-1-0.dll,I386,True,True,True,,,False
107,C:\windows\SysWOW64\downlevel\api-ms-win-core-registry-l1-1-0.dll,I386,True,True,True,,,False
108,C:\windows\SysWOW64\downlevel\api-ms-win-core-registry-l2-1-0.dll,I386,True,True,True,,,False
109,C:\windows\SysWOW64\downlevel\api-ms-win-core-rtlsupport-l1-1-0.dll,I386,True,True,True,,,False
110,C:\windows\SysWOW64\downlevel\api-ms-win-core-shlwapi-legacy-l1-1-0.dll,I386,True,True,True,,,False
111,C:\windows\SysWOW64\downlevel\api-ms-win-core-shlwapi-obsolete-l1-1-0.dll,I386,True,True,True,,,False
112,C:\windows\SysWOW64\downlevel\api-ms-win-core-shutdown-l1-1-0.dll,I386,True,True,True,,,False
113,C:\windows\SysWOW64\downlevel\api-ms-win-core-string-l1-1-0.dll,I386,True,True,True,,,False
114,C:\windows\SysWOW64\downlevel\API-MS-Win-core-string-l2-1-0.dll,I386,True,True,True,,,False
115,C:\windows\SysWOW64\downlevel\API-MS-Win-core-string-obsolete-l1-1-0.dll,I386,True,True,True,,,False
116,C:\windows\SysWOW64\downlevel\api-ms-win-core-stringansi-l1-1-0.dll,I386,True,True,True,,,False
117,C:\windows\SysWOW64\downlevel\api-ms-win-core-stringloader-l1-1-1.dll,I386,True,True,True,,,False
118,C:\windows\SysWOW64\downlevel\api-ms-win-core-synch-l1-1-0.dll,I386,True,True,True,,,False
119,C:\windows\SysWOW64\downlevel\api-ms-win-core-synch-l1-2-0.dll,I386,True,True,True,,,False
120,C:\windows\SysWOW64\downlevel\api-ms-win-core-sysinfo-l1-1-0.dll,I386,True,True,True,,,False
121,C:\windows\SysWOW64\downlevel\api-ms-win-core-sysinfo-l1-2-0.dll,I386,True,True,True,,,False
122,C:\windows\SysWOW64\downlevel\api-ms-win-core-sysinfo-l1-2-1.dll,I386,True,True,True,,,False
123,C:\windows\SysWOW64\downlevel\api-ms-win-core-threadpool-l1-2-0.dll,I386,True,True,True,,,False
124,C:\windows\SysWOW64\downlevel\api-ms-win-core-threadpool-legacy-l1-1-0.dll,I386,True,True,True,,,False
125,C:\windows\SysWOW64\downlevel\api-ms-win-core-threadpool-private-l1-1-0.dll,I386,True,True,True,,,False
126,C:\windows\SysWOW64\downlevel\api-ms-win-core-timezone-l1-1-0.dll,I386,True,True,True,,,False
127,C:\windows\SysWOW64\downlevel\api-ms-win-core-url-l1-1-0.dll,I386,True,True,True,,,False
128,C:\windows\SysWOW64\downlevel\api-ms-win-core-util-l1-1-0.dll,I386,True,True,True,,,False
129,C:\windows\SysWOW64\downlevel\api-ms-win-core-version-l1-1-0.dll,I386,True,True,True,,,False
130,C:\windows\SysWOW64\downlevel\api-ms-win-core-wow64-l1-1-0.dll,I386,True,True,True,,,False
131,C:\windows\SysWOW64\downlevel\api-ms-win-core-xstate-l1-1-0.dll,I386,True,True,True,,,False
132,C:\windows\SysWOW64\downlevel\API-MS-Win-core-xstate-l2-1-0.dll,I386,True,True,True,,,False
133,C:\windows\SysWOW64\downlevel\api-ms-win-crt-conio-l1-1-0.dll,I386,True,True,True,,,False
134,C:\windows\SysWOW64\downlevel\api-ms-win-crt-convert-l1-1-0.dll,I386,True,True,True,,,False
135,C:\windows\SysWOW64\downlevel\api-ms-win-crt-environment-l1-1-0.dll,I386,True,True,True,,,False
136,C:\windows\SysWOW64\downlevel\api-ms-win-crt-filesystem-l1-1-0.dll,I386,True,True,True,,,False
137,C:\windows\SysWOW64\downlevel\api-ms-win-crt-heap-l1-1-0.dll,I386,True,True,True,,,False
138,C:\windows\SysWOW64\downlevel\api-ms-win-crt-locale-l1-1-0.dll,I386,True,True,True,,,False
139,C:\windows\SysWOW64\downlevel\api-ms-win-crt-math-l1-1-0.dll,I386,True,True,True,,,False
140,C:\windows\SysWOW64\downlevel\api-ms-win-crt-multibyte-l1-1-0.dll,I386,True,True,True,,,False
141,C:\windows\SysWOW64\downlevel\api-ms-win-crt-private-l1-1-0.dll,I386,True,True,True,,,False
142,C:\windows\SysWOW64\downlevel\api-ms-win-crt-process-l1-1-0.dll,I386,True,True,True,,,False
143,C:\windows\SysWOW64\downlevel\api-ms-win-crt-runtime-l1-1-0.dll,I386,True,True,True,,,False
144,C:\windows\SysWOW64\downlevel\api-ms-win-crt-stdio-l1-1-0.dll,I386,True,True,True,,,False
145,C:\windows\SysWOW64\downlevel\api-ms-win-crt-string-l1-1-0.dll,I386,True,True,True,,,False
146,C:\windows\SysWOW64\downlevel\api-ms-win-crt-time-l1-1-0.dll,I386,True,True,True,,,False
147,C:\windows\SysWOW64\downlevel\api-ms-win-crt-utility-l1-1-0.dll,I386,True,True,True,,,False
148,C:\windows\SysWOW64\downlevel\API-MS-Win-devices-config-L1-1-0.dll,I386,True,True,True,,,False
149,C:\windows\SysWOW64\downlevel\API-MS-Win-devices-config-L1-1-1.dll,I386,True,True,True,,,False
150,C:\windows\SysWOW64\downlevel\API-MS-Win-Eventing-ClassicProvider-L1-1-0.dll,I386,True,True,True,,,False
151,C:\windows\SysWOW64\downlevel\api-ms-win-eventing-consumer-l1-1-0.dll,I386,True,True,True,,,False
152,C:\windows\SysWOW64\downlevel\API-MS-Win-Eventing-Controller-L1-1-0.dll,I386,True,True,True,,,False
153,C:\windows\SysWOW64\downlevel\API-MS-Win-Eventing-Legacy-L1-1-0.dll,I386,True,True,True,,,False
154,C:\windows\SysWOW64\downlevel\API-MS-Win-Eventing-Provider-L1-1-0.dll,I386,True,True,True,,,False
155,C:\windows\SysWOW64\downlevel\API-MS-Win-EventLog-Legacy-L1-1-0.dll,I386,True,True,True,,,False
156,C:\windows\SysWOW64\downlevel\api-ms-win-security-base-l1-1-0.dll,I386,True,True,True,,,False
157,C:\windows\SysWOW64\downlevel\api-ms-win-security-cryptoapi-l1-1-0.dll,I386,True,True,True,,,False
158,C:\windows\SysWOW64\downlevel\API-MS-Win-Security-Lsalookup-L2-1-0.dll,I386,True,True,True,,,False
159,C:\windows\SysWOW64\downlevel\API-MS-Win-Security-Lsalookup-L2-1-1.dll,I386,True,True,True,,,False
160,C:\windows\SysWOW64\downlevel\API-MS-Win-security-lsapolicy-l1-1-0.dll,I386,True,True,True,,,False
161,C:\windows\SysWOW64\downlevel\API-MS-Win-security-provider-L1-1-0.dll,I386,True,True,True,,,False
162,C:\windows\SysWOW64\downlevel\api-ms-win-security-sddl-l1-1-0.dll,I386,True,True,True,,,False
163,C:\windows\SysWOW64\downlevel\api-ms-win-service-core-l1-1-0.dll,I386,True,True,True,,,False
164,C:\windows\SysWOW64\downlevel\api-ms-win-service-core-l1-1-1.dll,I386,True,True,True,,,False
165,C:\windows\SysWOW64\downlevel\api-ms-win-service-management-l1-1-0.dll,I386,True,True,True,,,False
166,C:\windows\SysWOW64\downlevel\api-ms-win-service-management-l2-1-0.dll,I386,True,True,True,,,False
167,C:\windows\SysWOW64\downlevel\api-ms-win-service-private-l1-1-0.dll,I386,True,True,True,,,False
168,C:\windows\SysWOW64\downlevel\api-ms-win-service-private-l1-1-1.dll,I386,True,True,True,,,False
169,C:\windows\SysWOW64\downlevel\api-ms-win-service-winsvc-l1-1-0.dll,I386,True,True,True,,,False
170,C:\windows\SysWOW64\downlevel\api-ms-win-shcore-stream-l1-1-0.dll,I386,True,True,True,,,False
172,C:\windows\SysWOW64\drivers\IntelMEFWVer.dll,I386,True,True,True,,True,False
173,C:\windows\SysWOW64\en\AuthFWSnapIn.Resources.dll,I386,True,True,True,True,,False
174,C:\windows\SysWOW64\en\AuthFWWizFwk.Resources.dll,I386,True,True,True,True,,False
265,C:\windows\SysWOW64\inetsrv\iisres.dll,I386,True,True,True,,,False
271,C:\windows\SysWOW64\inetsrv\Microsoft.Web.Administration.dll,I386,True,True,True,True,,False
291,C:\windows\SysWOW64\InstallShield\setupdir\0003\_setup.dll,I386,False,False,True,,False,False
292,C:\windows\SysWOW64\InstallShield\setupdir\0005\_setup.dll,I386,False,False,True,,False,False
293,C:\windows\SysWOW64\InstallShield\setupdir\0006\_setup.dll,I386,False,False,True,,False,False
294,C:\windows\SysWOW64\InstallShield\setupdir\0007\_setup.dll,I386,False,False,True,,False,False
295,C:\windows\SysWOW64\InstallShield\setupdir\0008\_setup.dll,I386,False,False,True,,False,False
