#TYPE System.Data.DataRow
"FileName","ARCH","ASLR","DEP","Authenticode","StrongNaming","SafeSEH","ControlFlowGuard"
"C:\windows\SysWOW64\1028\VsGraphicsResources.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1028\vsjitdebuggerui.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1029\VsGraphicsResources.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1029\vsjitdebuggerui.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1031\VsGraphicsResources.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1031\vsjitdebuggerui.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1033\VsGraphicsResources.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1033\vsjitdebuggerui.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1036\VsGraphicsResources.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1036\vsjitdebuggerui.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1040\VsGraphicsResources.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1040\vsjitdebuggerui.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1041\VsGraphicsResources.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1041\vsjitdebuggerui.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1042\VsGraphicsResources.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1042\vsjitdebuggerui.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1045\VsGraphicsResources.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1045\vsjitdebuggerui.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1046\VsGraphicsResources.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1046\vsjitdebuggerui.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1049\VsGraphicsResources.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1049\vsjitdebuggerui.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1055\VsGraphicsResources.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\1055\vsjitdebuggerui.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\2052\VsGraphicsResources.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\2052\vsjitdebuggerui.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\3082\VsGraphicsResources.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\3082\vsjitdebuggerui.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\AdvancedInstallers\cmiv2.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Com\comadmin.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Com\comrepl.exe","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Com\MigRegDB.exe","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\DiagSvcs\DiagnosticsHub.StandardCollector.Proxy.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\DiagSvcs\KernelTraceControl.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\AppxProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\AssocProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\CbsProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\DismCore.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\DismCorePS.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\DismHost.exe","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\DismProv.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\DmiProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\FfuProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\FolderProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\GenericProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\IBSProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\ImagingProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\IntlProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\LogProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\MsiProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\OfflineSetupProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\OSProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\ProvProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\SetupPlatformProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\SmiProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\SysprepProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\TransmogProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\UnattendProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\VhdProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\Dism\WimProvider.dll","I386","True","True","True","N/A","True","True"
"C:\windows\SysWOW64\downlevel\api-ms-win-base-util-l1-1-0.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\downlevel\api-ms-win-core-com-l1-1-0.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\downlevel\api-ms-win-core-comm-l1-1-0.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\downlevel\api-ms-win-core-console-l1-1-0.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\downlevel\api-ms-win-core-datetime-l1-1-0.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\downlevel\api-ms-win-core-datetime-l1-1-1.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\downlevel\api-ms-win-core-debug-l1-1-0.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\downlevel\api-ms-win-core-debug-l1-1-1.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\downlevel\api-ms-win-core-delayload-l1-1-0.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\downlevel\api-ms-win-core-errorhandling-l1-1-0.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\downlevel\api-ms-win-core-errorhandling-l1-1-1.dll","I386","True","True","True","N/A","N/A","False"
"C:\windows\SysWOW64\downlevel\api-ms-win-core-fibers-l1-1-0.dll","I386","True","True","True","N/A","N/A","False"
